@relation processed_govSpace

@attribute District {'Kwun Tong','Sai Kung','Kowloon City','Wan Chai','Yau Tsim Mong','Tuen Mun','Central And Western',Eastern,'Tai Po','Sha Tin','Sham Shui Po',Southern,'Tsuen Wan','Kwai Tsing','North Point','Wong Tai Sin',Islands,'Yuen Long','Central & Western','Tung Lung Fort Special Area','Lantau South Country Park','Plover Cove Country Park','Pat Sin Leng Country Park','Sai Kung East Country Park','Ma On Shan Country Park','Sai Kung West Country Park','Plover Cove (extension) Country Park','Tai Lam Country Park','Sai Kung West Country Park (wan Tsai Extension)','Shing Mun Country Park','Lantau North Country Park','Tai Mo Shan Country Park','Tai Tam Country Park','Kam Shan Country Park','Lion Rock Country Park','Aberdeen Country Park','Tai Tam Country Park (quarry Bay Extension)','Clear Warer Bay Country Park','Discovery Bay','Tseung Kwan O',Airport,'Kowloon East',Aberdeen,'Ma On Shan','Sai Ying Pun','Lamma Island','Cheung Sha Wan','Wah Fu','Mui Wo','Tsim Sha Tsui','Hong Kong East','Kwai Chung',Central,'Shau Kei Wan','Kowloon Central','Sheung Shui','Peng Chau','Cheung Chau'}
@attribute Lat numeric
@attribute Long numeric

@data
Southern,22.243179868,114.153624644
Sha Tin,22.379534015,114.204671579
Tai Po,22.45529881,114.162200255
Kowloon City,22.313600425,114.185327908
Yuen Long,22.45029662,114.023192096
Central And Western,22.279063854,114.158863299
Southern,22.219156035,114.212207989
Kwun Tong,22.311862041,114.222878177
Kowloon City,22.306699114,114.212663819
Eastern,22.26400683,114.234535151
Kwun Tong,22.308898338,114.233810159
Yau Tsim Mong,22.326064646,114.173855663
Eastern,22.289553048,114.193730037
Yau Tsim Mong,22.324286362,114.169004488
Southern,22.249366559,114.171930638
Tai Po,22.451968793,114.167813059
Kwai Tsing,22.348917289,114.105953475
Central And Western,22.286002612,114.149626468
Islands,22.308456303,114.015748578
Eastern,22.280082,114.227234227
Central And Western,22.286355795,114.145120009
Kwun Tong,22.310105333,114.237396765
Wong Tai Sin,22.335048984,114.195871065
Yau Tsim Mong,22.312522212,114.169151697
Wan Chai,22.279840531,114.172861089
North Point,22.502540064,114.127833861
North Point,22.494704504,114.138205886
Wong Tai Sin,22.337125947,114.196453779
Eastern,22.292169749,114.208344706
Tai Po,22.453882574,114.174115252
Eastern,22.281252006,114.211366788
Sham Shui Po,22.334580518,114.138600562
Tuen Mun,22.376657136,113.963052273
Kowloon City,22.307271658,114.187355898
Tuen Mun,22.391810222,113.977139114
Yau Tsim Mong,22.299069141,114.166120727
Eastern,22.291369349,114.204996636
Yau Tsim Mong,22.318606067,114.167986655
Kwun Tong,22.309752331,114.229351891
Yuen Long,22.445279485,114.0272195
Sai Kung,22.311705619,114.263176052
Central And Western,22.28571982,114.13605113
Wan Chai,22.272108118,114.188575805
Southern,22.247334678,114.159189421
North Point,22.524499553,114.160641624
Islands,22.210395975,114.028769343
Tai Po,22.459860674,114.171919383
Kwai Tsing,22.348812946,114.106900058
Tuen Mun,22.391460539,113.974071934
Wong Tai Sin,22.338309595,114.1901248
Sha Tin,22.385548619,114.18690538
Yau Tsim Mong,22.300517075,114.173824179
Yau Tsim Mong,22.301790265,114.169751067
Tsuen Wan,22.371940005,114.12035573
Tsuen Wan,22.377648383,114.111255157
Central And Western,22.289916645,114.1454996
Kowloon City,22.311897866,114.18973505
Yuen Long,22.441348148,114.023912075
Southern,22.247443663,114.166309944
Wan Chai,22.281312569,114.177997995
Wong Tai Sin,22.342922858,114.201667569
Kwai Tsing,22.352441025,114.127978745
Kwun Tong,22.319239685,114.213658968
Yuen Long,22.464839138,113.996924305
Eastern,22.276849533,114.225593257
Tsuen Wan,22.371239183,114.112928203
Central And Western,22.286885844,114.140572725
Sha Tin,22.380662943,114.18924519
Kowloon City,22.311967855,114.181241813
Wan Chai,22.279602094,114.171838376
Sai Kung,22.305999691,114.251214969
Tsuen Wan,22.386021079,114.10601626
Yau Tsim Mong,22.309872658,114.169702133
Southern,22.247560513,114.15982966
Tai Po,22.454046551,114.165470562
Yau Tsim Mong,22.298376754,114.171362189
Southern,22.21839309,114.21151238
Yau Tsim Mong,22.3026961,114.171443541
Kwun Tong,22.310575485,114.23334013
Southern,22.249564658,114.15435797
Tai Po,22.446700531,114.169882653
Sha Tin,22.379083072,114.175495544
Wan Chai,22.27738058,114.172663216
Sai Kung,22.408009645,114.321781899
Yau Tsim Mong,22.320546815,114.16945894
Tsuen Wan,22.379076326,114.136832832
Tai Po,22.451001066,114.16058217
Sham Shui Po,22.332006235,114.163323615
Wan Chai,22.277227071,114.173177482
Yau Tsim Mong,22.300517075,114.17382709
Tuen Mun,22.40409502,113.974037101
Central And Western,22.28214802,114.160815229
Kwun Tong,22.312973522,114.229427828
Central And Western,22.287301729,114.147391443
Sha Tin,22.379710134,114.204532759
Sai Kung,22.376390909,114.269191379
Sham Shui Po,22.330498557,114.170264076
Wan Chai,22.275243974,114.178486971
Tsuen Wan,22.385027196,114.143741132
North Point,22.496514312,114.138695185
Yuen Long,22.468637101,114.00500239
Wong Tai Sin,22.338410197,114.207444545
Yau Tsim Mong,22.299362836,114.169772539
Central And Western,22.280962254,114.160373863
Yau Tsim Mong,22.307000178,114.17739358
Yuen Long,22.454767792,113.997975873
Sham Shui Po,22.33180999,114.160297045
Kowloon City,22.300355077,114.187893017
Central And Western,22.286608477,114.155011906
Central And Western,22.277307654,114.16138826
Wong Tai Sin,22.334496067,114.208888094
Tuen Mun,22.381800617,113.962839529
Kwai Tsing,22.354098338,114.106459573
Wong Tai Sin,22.33905584,114.185380899
Kwun Tong,22.292061687,114.238679629
Tuen Mun,22.402305711,113.970175423
Sha Tin,22.380761074,114.214525753
Yuen Long,22.44561779,114.023018499
Sai Kung,22.324387343,114.248183726
North Point,22.496551363,114.138806935
Sham Shui Po,22.327219421,114.157373985
Southern,22.220320564,114.21413841
Wong Tai Sin,22.335062124,114.213872794
North Point,22.486960356,114.143724723
North Point,22.500143141,114.144749806
Yau Tsim Mong,22.309247275,114.162627996
Kwai Tsing,22.361289807,114.121568779
North Point,22.502161648,114.130749595
Central And Western,22.286353986,114.145106424
Central And Western,22.270921457,114.149702155
Eastern,22.266103879,114.241384855
Kowloon City,22.311876193,114.189723402
Wong Tai Sin,22.345460459,114.201590356
Sham Shui Po,22.338697297,114.157459759
Wan Chai,22.268945765,114.185752118
Kwun Tong,22.310578198,114.233328484
Yuen Long,22.465179882,113.997192028
Wong Tai Sin,22.326611282,114.209807436
Kwun Tong,22.307102257,114.23350566
Tuen Mun,22.399503257,113.975664607
Wong Tai Sin,22.341975829,114.192134606
Kwai Tsing,22.363213974,114.102863636
Tsuen Wan,22.370672107,114.113034296
Yau Tsim Mong,22.325975222,114.172849109
Wong Tai Sin,22.341033719,114.194328391
Islands,22.290585948,113.943823115
Tuen Mun,22.39631722,113.965678254
Tai Po,22.450911086,114.164205912
Central And Western,22.286381076,114.145096714
Tsuen Wan,22.368993007,114.114520599
Kowloon City,22.311877096,114.189724372
Islands,22.20591461,114.131719754
Southern,22.24742071,114.153878112
Sha Tin,22.384780754,114.190585604
Wan Chai,22.275300869,114.178290973
Kwai Tsing,22.356796807,114.126166581
Wan Chai,22.281218654,114.176787018
Yau Tsim Mong,22.304436162,114.168256374
Yau Tsim Mong,22.293915595,114.170450167
Southern,22.244480532,114.155416168
Tuen Mun,22.390332821,113.97566906
Tai Po,22.446125115,114.166576748
Kowloon City,22.332749566,114.197756802
North Point,22.505296555,114.12922269
Eastern,22.291348497,114.205462425
Wan Chai,22.279620187,114.173002762
North Point,22.496525185,114.13884873
Kwai Tsing,22.356289889,114.108181734
Kowloon City,22.318848686,114.190122956
Yau Tsim Mong,22.309195393,114.170430062
Tai Po,22.44729667,114.174202815
Eastern,22.265363343,114.234228147
North Point,22.506249595,114.130368229
Tuen Mun,22.40646555,113.969086389
Islands,22.290500191,113.943846547
Tsuen Wan,22.374766976,114.124266668
Sai Kung,22.382233641,114.27232681
Tsuen Wan,22.374637308,114.115090964
Kwai Tsing,22.370598895,114.138618892
Yuen Long,22.465743574,114.000643431
Yuen Long,22.445740518,114.010194949
Kwun Tong,22.312638458,114.229516023
Kwai Tsing,22.373936979,114.136536211
Tuen Mun,22.376873999,113.968694365
Yau Tsim Mong,22.30943924,114.170963842
Kwun Tong,22.307613784,114.223788098
Yuen Long,22.447379232,114.004737148
North Point,22.500138628,114.144758553
Kowloon City,22.325220094,114.185262608
Tsuen Wan,22.370514161,114.115599619
Sham Shui Po,22.329242679,114.161130178
Wan Chai,22.275466017,114.183074521
Kowloon City,22.332385039,114.183564337
Central And Western,22.285942202,114.140839819
Sha Tin,22.388065641,114.194823687
Central And Western,22.277343564,114.159292395
Sai Kung,22.383080432,114.271249537
Southern,22.250503282,114.156941253
Central And Western,22.27992667,114.162833756
Yuen Long,22.44306328,114.033031164
Central And Western,22.286604863,114.155001233
Wong Tai Sin,22.334467047,114.209496717
Sham Shui Po,22.33728954,114.169962835
Sham Shui Po,22.335979927,114.166565409
Tsuen Wan,22.374276275,114.115586322
Wong Tai Sin,22.339761117,114.207728295
Sha Tin,22.382476671,114.201527957
Islands,22.289199583,113.939343218
Kowloon City,22.330183965,114.189052408
Wan Chai,22.278437181,114.180280149
Central And Western,22.290173618,114.143492766
Central And Western,22.28635218,114.145110306
Southern,22.228703008,114.250693986
Kwai Tsing,22.360787143,114.125333091
Wong Tai Sin,22.343778657,114.203550035
Kwai Tsing,22.358474325,114.081350764
Kwai Tsing,22.363128814,114.131543073
Sha Tin,22.426024054,114.229559674
Sai Kung,22.317011058,114.268183623
Tai Po,22.452678106,114.161457316
Eastern,22.263325701,114.239976777
Eastern,22.284725207,114.222287071
Sai Kung,22.318779418,114.257656765
North Point,22.546121488,114.222848562
Central And Western,22.281942985,114.128638843
Yau Tsim Mong,22.308280667,114.172719561
Eastern,22.267466994,114.249037746
Tuen Mun,22.390791051,113.978908919
Kwun Tong,22.326899912,114.20695962
Yau Tsim Mong,22.301871567,114.170381872
Sham Shui Po,22.33094492,114.15344514
Islands,22.207508325,114.031177534
Yau Tsim Mong,22.309458133,114.169260564
Yau Tsim Mong,22.301745265,114.177408116
Tuen Mun,22.406604845,113.965084852
Wan Chai,22.275330664,114.178892555
Kwai Tsing,22.355356133,114.0982553
Tai Po,22.454660118,114.176371143
Yuen Long,22.456552542,114.002411604
Sha Tin,22.377932444,114.195236032
Yuen Long,22.44495014,114.022702538
Sham Shui Po,22.337965294,114.153470179
Islands,22.266985583,113.996478772
Tuen Mun,22.385428048,113.971817161
Yau Tsim Mong,22.325680753,114.170584613
Yau Tsim Mong,22.321882903,114.162790751
Yau Tsim Mong,22.293458621,114.169873759
Central And Western,22.282568978,114.162191126
Kowloon City,22.332700806,114.197717967
Yau Tsim Mong,22.302025208,114.178398003
Kowloon City,22.3049048,114.216263903
Wan Chai,22.280333591,114.172391437
Kwun Tong,22.314648851,114.226063511
Wong Tai Sin,22.346176899,114.199425639
Kwun Tong,22.307922002,114.228810628
Central And Western,22.281073272,114.159806206
Yuen Long,22.442804802,114.02112533
Kwai Tsing,22.360817868,114.125398129
Yuen Long,22.445636867,114.023136998
North Point,22.499182543,114.13409762
Wong Tai Sin,22.342732064,114.208297814
Wan Chai,22.274418531,114.172740926
North Point,22.484754106,114.143135398
Kwun Tong,22.295658454,114.239016982
Wong Tai Sin,22.339519958,114.207947628
Kwun Tong,22.321862395,114.216528791
Kwai Tsing,22.361123456,114.12952428
Central And Western,22.289085232,114.152570998
Central And Western,22.281813976,114.129075539
Yuen Long,22.463389854,114.004455053
Sha Tin,22.385338793,114.191135275
Sham Shui Po,22.333947213,114.157450708
Islands,22.284888994,114.038054966
Wong Tai Sin,22.348205897,114.200610337
Eastern,22.263727131,114.236340602
Central And Western,22.282331411,114.161525497
Central And Western,22.277515227,114.160058916
Central And Western,22.278084529,114.164163266
Eastern,22.284592018,114.223825042
Kwai Tsing,22.35971222,114.127302422
Tuen Mun,22.391251933,113.979177259
Islands,22.281488157,113.934914077
Eastern,22.292252516,114.199397552
Tuen Mun,22.378691163,113.96469987
Sai Kung,22.397866792,114.319544561
Sha Tin,22.376208601,114.172470936
Eastern,22.265384477,114.240521026
Sha Tin,22.427365427,114.241070624
Sha Tin,22.382938347,114.192566338
Tsuen Wan,22.371521649,114.114762213
Sha Tin,22.425166102,114.234987143
Eastern,22.288437115,114.191095313
Kwun Tong,22.309489437,114.220573366
Tuen Mun,22.402312942,113.970180268
Eastern,22.283752001,114.214029073
Sham Shui Po,22.338612442,114.157732546
Wan Chai,22.284209935,114.190414666
North Point,22.501438644,114.128786673
Central And Western,22.277560855,114.156330988
Wan Chai,22.278075986,114.17541888
Kwun Tong,22.30842484,114.239504011
Southern,22.25061771,114.13614861
Eastern,22.284182797,114.224285823
Sai Kung,22.31710325,114.259626077
Sha Tin,22.366548681,114.174738343
Tai Po,22.442178773,114.166071884
Yuen Long,22.441453388,114.022525713
Eastern,22.265791696,114.238341111
Islands,22.266111266,113.99797404
Eastern,22.263557382,114.249583909
Sai Kung,22.382971932,114.273009953
Sai Kung,22.313518874,114.261632043
North Point,22.496561305,114.138840946
North Point,22.546102961,114.224452643
Sham Shui Po,22.326605531,114.15902417
Central And Western,22.27768084,114.163916844
Sham Shui Po,22.332656636,114.165973532
Eastern,22.281913102,114.225289357
Kowloon City,22.332804653,114.197754869
Tsuen Wan,22.370477044,114.100509129
Sai Kung,22.290743649,114.300968896
Yau Tsim Mong,22.320781662,114.170701304
Sha Tin,22.370204001,114.185938182
Yuen Long,22.455130488,113.999316127
Yuen Long,22.441009783,114.027097792
Sham Shui Po,22.330984258,114.16734814
Sha Tin,22.379336224,114.204799713
Kowloon City,22.3327008,114.197769414
Kwai Tsing,22.370116462,114.124918949
Southern,22.249168502,114.156562128
Southern,22.243269321,114.148257224
Islands,22.284348084,113.937925
Tuen Mun,22.387592313,113.976591629
Islands,22.206819435,114.028346375
Sai Kung,22.295529644,114.271890285
Tsuen Wan,22.370017055,114.119362256
Sha Tin,22.427274233,114.231192977
Eastern,22.278282703,114.233884105
Sai Kung,22.319602246,114.260930093
Tuen Mun,22.390273963,113.976267332
Sham Shui Po,22.339970763,114.15880891
Eastern,22.282006877,114.222674327
Sai Kung,22.31128361,114.256671233
Yau Tsim Mong,22.318401249,114.172272793
Islands,22.290569569,113.943736778
Kwai Tsing,22.346271919,114.126889736
Tuen Mun,22.387438127,113.976782178
Yau Tsim Mong,22.309264873,114.169144111
Yuen Long,22.44135271,114.02880716
Sham Shui Po,22.33736719,114.151602611
North Point,22.492474807,114.141753573
Kwai Tsing,22.356582591,114.102307926
Tuen Mun,22.390942926,113.976839315
Tuen Mun,22.377135645,113.967111259
Eastern,22.288434001,114.215659585
Sha Tin,22.380150827,114.190315206
Wong Tai Sin,22.337496429,114.19446385
Sai Kung,22.318168968,114.259413177
Kowloon City,22.317046806,114.193150026
Wong Tai Sin,22.334356107,114.208814289
Central And Western,22.284957897,114.130310708
Tuen Mun,22.407524546,113.964015135
Yau Tsim Mong,22.323634638,114.160651316
Southern,22.253981269,114.159353514
Kwun Tong,22.306814079,114.222362152
Kwai Tsing,22.358542051,114.12502518
Yau Tsim Mong,22.301456202,114.18205668
Central And Western,22.285369989,114.159251609
Tuen Mun,22.399882549,113.973508108
Wong Tai Sin,22.337406735,114.18745523
Islands,22.227156211,114.109568768
Tuen Mun,22.399832157,113.977276243
Tsuen Wan,22.374730221,114.125103666
Kwun Tong,22.317527174,114.210951561
Central And Western,22.278373591,114.165259694
Eastern,22.282670112,114.224470648
Tuen Mun,22.39340971,113.975835549
Kwai Tsing,22.349870837,114.127673837
Kwun Tong,22.303864639,114.238840103
Tuen Mun,22.40406717,113.979258202
Eastern,22.2850865,114.222044597
Central And Western,22.280607782,114.165409911
Southern,22.244931336,114.187234822
Sha Tin,22.377403183,114.185195836
Central And Western,22.284827605,114.144076248
Kwai Tsing,22.367798402,114.125164483
Central And Western,22.2805406,114.161155027
Sai Kung,22.325856132,114.255108055
North Point,22.499916473,114.144725562
Sham Shui Po,22.337597331,114.141238164
Wan Chai,22.275286421,114.178240518
Kowloon City,22.321933172,114.178354548
Tai Po,22.45828936,114.171355933
Sha Tin,22.417355672,114.226797978
Sai Kung,22.306285006,114.255161196
Kwun Tong,22.321056958,114.216154879
Kwai Tsing,22.366559689,114.139275367
Kwun Tong,22.309548082,114.229836108
Sham Shui Po,22.333189513,114.167129585
Islands,22.28490072,114.038039428
Wan Chai,22.284482289,114.173374276
Yau Tsim Mong,22.318641283,114.167935211
Kowloon City,22.332720668,114.19775971
Eastern,22.281873314,114.222353102
Sai Kung,22.322228432,114.249534696
Sham Shui Po,22.331792842,114.16038635
Kwai Tsing,22.355943917,114.105849923
Yau Tsim Mong,22.320554124,114.171631153
Kwun Tong,22.313379184,114.222868969
Eastern,22.281672099,114.235854292
Kwun Tong,22.32936289,114.20986244
Sham Shui Po,22.331735034,114.160265992
Sai Kung,22.37449054,114.26495472
Kwun Tong,22.312000425,114.222111492
Sai Kung,22.317792336,114.26794925
North Point,22.495471358,114.13893551
Sha Tin,22.375604457,114.194485153
Sha Tin,22.426023801,114.230327029
Sha Tin,22.381780363,114.201878376
Yuen Long,22.450187357,114.004422802
Yau Tsim Mong,22.294240747,114.171866969
Tsuen Wan,22.367320076,114.113296032
Yuen Long,22.447356733,114.004810037
Kowloon City,22.318515097,114.176059064
Wong Tai Sin,22.344964774,114.193872617
Kwun Tong,22.310861977,114.230013242
Tai Po,22.451004588,114.178262686
Southern,22.224989691,114.197517685
Kwun Tong,22.313652224,114.221745154
Sai Kung,22.322883314,114.271904921
Sai Kung,22.356871097,114.295946923
Kwun Tong,22.329687681,114.225436883
Wan Chai,22.281344612,114.189194679
Tsuen Wan,22.364014135,114.069158251
Tsuen Wan,22.367406716,114.074432637
Tuen Mun,22.372804916,113.956458529
Tsuen Wan,22.350242731,114.061534392
Tuen Mun,22.376580876,113.981297261
Southern,22.231836204,114.25168502
Tsuen Wan,22.36781147,114.076169336
Tuen Mun,22.379388539,113.979876638
Tuen Mun,22.372305688,113.988013533
Tuen Mun,22.375822161,113.983423804
Sai Kung,22.291132008,114.291073098
Southern,22.228710235,114.25069011
Islands,22.239991522,113.975945472
Southern,22.221245336,114.214019354
Sai Kung,22.367845073,114.288236384
Islands,22.228085417,113.935357897
Southern,22.213291785,114.214918262
Southern,22.236862511,114.196142959
Tuen Mun,22.373638079,113.986805793
Islands,22.270144545,113.998982828
Southern,22.244486995,114.187708189
Southern,22.217796086,114.202117818
Islands,22.207118412,114.034481146
Sai Kung,22.357679516,114.267821775
Tsuen Wan,22.364813553,114.070853816
Tsuen Wan,22.367457169,114.086361429
Sai Kung,22.287358579,114.287799871
Southern,22.246442715,114.246980068
Tsuen Wan,22.36475518,114.055859134
Islands,22.218823847,114.119699498
Tsuen Wan,22.369133019,114.079752126
Islands,22.230604709,113.941343199
Islands,22.204461532,114.122714614
Southern,22.233034358,114.223193823
Islands,22.23411375,113.95529568
Islands,22.209330319,114.0307305
Southern,22.224236112,114.214848472
Southern,22.229835469,114.198238121
Kwun Tong,22.303971074,114.226036476
Wong Tai Sin,22.34238515,114.198055291
Yuen Long,22.455658751,114.003454212
Central & Western,22.282931071,114.143577933
Tuen Mun,22.385558796,113.970245809
Tsuen Wan,22.363375084,114.112154101
Wong Tai Sin,22.34587074,114.199590622
Southern,22.244824603,114.155438427
Yuen Long,22.463234091,114.007449693
Sai Kung,22.327238339,114.254007137
Sai Kung,22.382558258,114.274644889
Sha Tin,22.379491635,114.189873331
Kwun Tong,22.322984358,114.215015909
Central & Western,22.28135824,114.165578689
Eastern,22.293483085,114.20149094
Tsuen Wan,22.374749175,114.125072588
Yau Tsim Mong,22.295413877,114.174094068
Wong Tai Sin,22.344845412,114.183847431
Eastern,22.290395756,114.2143695
Kowloon City,22.33165589,114.18982714
Sai Kung,22.380603895,114.26216009
Tai Po,22.451827253,114.179004933
Islands,22.29081439,113.948889162
Sha Tin,22.40883274,114.220409181
Southern,22.244612037,114.152957963
Sham Shui Po,22.338589982,114.170982037
Central & Western,22.277686329,114.155925381
Tuen Mun,22.39193385,113.97344392
Kwai Tsing,22.356164272,114.105872141
Sham Shui Po,22.32409123,114.157411303
Wong Tai Sin,22.339129556,114.204525707
Wong Tai Sin,22.336151228,114.21380222
Sham Shui Po,22.338879041,114.173990323
Yau Tsim Mong,22.300697091,114.154569127
Sai Kung,22.305027078,114.268855175
Southern,22.245122015,114.157875234
Sai Kung,22.325017296,114.252991602
Yau Tsim Mong,22.300117814,114.170210181
Sai Kung,22.314142318,114.260992821
Tsuen Wan,22.367113993,114.112822313
Kwun Tong,22.329842248,114.221806634
Yau Tsim Mong,22.325774763,114.173803254
Eastern,22.282563819,114.188227355
Eastern,22.288404232,114.215524694
Kwai Tsing,22.362360493,114.098812547
Eastern,22.264337912,114.244763308
North Point,22.498922471,114.134111306
Sha Tin,22.427294102,114.231185214
Wan Chai,22.270209226,114.184285169
Eastern,22.26627749,114.238486858
Sham Shui Po,22.339475603,114.136984894
Sai Kung,22.302057347,114.261419382
Kwai Tsing,22.357196125,114.132924581
Sai Kung,22.318774902,114.257656762
Yuen Long,22.442499244,114.018926311
Tung Lung Fort Special Area,22.255482805,114.29593179
Lantau South Country Park,22.213132337,113.903305469
Lantau South Country Park,22.253283425,113.986203173
Lantau South Country Park,22.213268493,113.878021049
Plover Cove Country Park,22.506638325,114.27019608
Sai Kung East Country Park,22.434460699,114.336231623
Pat Sin Leng Country Park,22.487480297,114.242925244
Pat Sin Leng Country Park,22.491394683,114.167078744
Lantau South Country Park,22.251829513,113.99408257
